FM02 Sub-Sonic Wind Tunel Test Report : Date20/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Time
(h:min:sec)","Act.AirSpeed
(m/s)","AirTemp.
(C)","Act.Angle
(deg)","DragForce
(N)","LiftForce
(N)","Pitching
Mmnt(Nm)","PitotX
(mm)","PitotY
(mm)","Prs.1
(kPa)","Prs.2
(kPa)","Prs.3
(kPa)","Prs.4
(kPa)","Prs.5
(kPa)","Prs.6
(kPa)","Prs.7
(kPa)","Prs.8
(kPa)","Prs.9
(kPa)","Prs.10
(kPa)","Prs.11
(kPa)","Prs.12
(kPa)","Prs.13
(kPa)","Prs.14
(kPa)","Prs.15
(kPa)","Prs.16
(kPa)","Prs.17
(kPa)","Prs.18
(kPa)","Prs.19
(kPa)","Prs.20
(kPa)"
13:37:41,11.9,24,0,-0.14,1.41,-0.069,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.004,-0.003,-0.004,-0.004,-0.003,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:42,11.8,24,0,-0.14,1.4,-0.068,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.003,-0.004,-0.004,-0.003,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:43,11.8,24,0,-0.14,1.39,-0.069,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.003,-0.004,-0.004,-0.003,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:44,11.8,24,0,-0.14,1.39,-0.07,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.003,-0.004,-0.004,-0.003,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:45,11.8,24,0,-0.14,1.38,-0.071,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.004,-0.004,-0.003,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:46,11.9,24,0,-0.15,1.37,-0.071,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.003,-0.004,-0.003,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:47,11.8,24,0,-0.15,1.37,-0.071,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.002,-0.004,-0.003,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:48,11.8,24,0,-0.15,1.37,-0.071,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.002,-0.003,-0.003,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:49,11.9,24,0,-0.15,1.37,-0.071,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.002,-0.005,-0.003,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:50,11.9,24,0,-0.15,1.37,-0.071,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.002,-0.005,-0.004,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:51,11.9,24,0,-0.15,1.37,-0.071,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.002,-0.005,-0.004,-0.004,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:52,11.8,24,0,-0.15,1.37,-0.071,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.002,-0.005,-0.004,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:53,11.9,24,0,-0.15,1.36,-0.072,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.002,-0.005,-0.004,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:54,11.8,24,0,-0.15,1.35,-0.072,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.002,-0.005,-0.004,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
13:37:55,11.9,24,0,-0.15,1.35,-0.072,200,50,-0.004,-0.003,-0.003,-0.004,-0.003,-0.003,-0.004,-0.002,-0.005,-0.004,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,0,0,0,0
